Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact
1,22,Male,High School,USA,4,Twitter,No,7.6,8.6,Positive
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,Negative
2,23,Female,Undergraduate,USA,2.7,YouTube,No,7.8,7.7,Positive
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Neutral
3,23,Female,High School,USA,3.8,Instagram,No,7.4,7.1,Positive
3,20,Female,Undergraduate,USA,6,TikTok,Yes,5,5,Negative
4,20,Male,Undergraduate,Other,3.4,Facebook,Yes,8.6,8.7,Positive
4,18,Male,High School,UK,3,YouTube,No,7,7,Positive
5,23,Female,Graduate,Other,6.4,Instagram,Yes,5.4,5.4,Negative
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6,6,Negative
6,24,Female,Undergraduate,India,3.4,YouTube,No,8,7.5,Positive
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Negative
7,19,Female,Graduate,Other,2.9,Instagram,No,7.9,7.7,Positive
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8,9,Neutral
8,18,Male,High School,Other,2.8,Instagram,Yes,8.8,8.6,Positive
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6,6,Negative
9,19,Male,Undergraduate,Other,3.6,Twitter,Yes,6.9,6.8,Neutral
9,18,Male,High School,Japan,4,TikTok,No,6.5,7,Positive
10,22,Male,Graduate,Other,6.6,Snapchat,Yes,5.2,5.2,Negative
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7,7,Positive
11,19,Male,Graduate,Other,5.3,YouTube,No,7,6.7,Neutral
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Negative
12,19,Female,Graduate,UK,8.4,Snapchat,Yes,5,4.5,Negative
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,Negative
13,20,Female,High School,Other,1.8,Twitter,No,7.2,7.5,Positive
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Positive
14,20,Male,Undergraduate,Other,3.9,LinkedIn,No,6.9,6.6,Neutral
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Negative
15,23,Female,Undergraduate,Other,5.8,Instagram,No,6.2,6.2,Neutral
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,Positive
16,24,Male,High School,Other,5.7,Facebook,Yes,6.8,6.6,Neutral
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6,6,Negative
17,19,Male,Undergraduate,Other,7.9,TikTok,Yes,5.4,4.2,Negative
17,24,Male,Graduate,Sweden,2,LinkedIn,No,7.8,8,Neutral
18,21,Male,Graduate,Australia,4.7,Instagram,Yes,7.4,6.6,Neutral
18,19,Female,High School,Norway,5,Instagram,Yes,5.7,5,Negative
19,22,Male,Graduate,Other,4.7,Facebook,Yes,6.6,6.9,Neutral
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Positive
20,21,Female,Undergraduate,USA,6.1,Snapchat,Yes,5.3,6,Negative
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Negative
21,20,Male,Graduate,Other,2,LinkedIn,No,7.6,7.6,Positive
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Negative
22,19,Male,Undergraduate,Other,6.1,TikTok,Yes,4.6,4.9,Negative
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,Positive
23,24,Female,High School,Other,7.1,Twitter,Yes,5.2,4.8,Negative
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Negative
24,21,Male,Graduate,Other,3.9,TikTok,No,7.7,7.5,Positive
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Negative
25,24,Male,Graduate,India,8.1,LinkedIn,Yes,5.1,5.1,Negative
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,Positive
26,19,Male,Undergraduate,Other,6.5,LinkedIn,Yes,5.4,5.8,Negative
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Negative
27,24,Male,Undergraduate,India,8,Twitter,Yes,5.1,5.3,Negative
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Positive
28,21,Male,Undergraduate,Other,5.3,Twitter,Yes,7.3,6.1,Neutral
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,Negative
29,24,Male,High School,Other,5.1,LinkedIn,Yes,6.5,6.8,Neutral
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Neutral
30,23,Female,High School,Other,4.4,YouTube,No,7.3,6.2,Neutral
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Negative
31,23,Male,Undergraduate,Other,8.2,Twitter,No,5.7,4.9,Negative
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Positive
32,22,Male,Undergraduate,Australia,6.2,YouTube,No,5.5,4.8,Negative
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,Negative
33,19,Male,High School,Other,3.6,TikTok,No,8.1,8.6,Positive
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Negative
34,24,Female,Graduate,Other,3.3,Facebook,No,7.2,7.3,Positive
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Positive
35,22,Female,Undergraduate,Other,7.4,TikTok,Yes,5.2,5.1,Negative
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,Negative
36,19,Male,High School,Other,6,YouTube,Yes,5.6,4.2,Negative
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Negative
37,19,Male,Graduate,Other,2.4,LinkedIn,No,8.4,7.6,Positive
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Positive
38,20,Female,Graduate,Other,3.3,YouTube,No,7.4,7.1,Positive
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,Negative
39,18,Male,High School,Other,5,Snapchat,Yes,6.5,6.8,Neutral
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Negative
40,22,Female,Graduate,Australia,7.6,TikTok,Yes,5.2,4.5,Negative
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Negative
41,18,Female,High School,Other,5.8,Twitter,Yes,5,5.6,Negative
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,Positive
42,18,Male,High School,Other,5.8,LinkedIn,Yes,5.9,5.5,Negative
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Negative
43,18,Male,Undergraduate,India,8.4,TikTok,Yes,5.9,5.3,Negative
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Positive
44,19,Male,Undergraduate,USA,5,Twitter,No,7.5,6.6,Neutral
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,Negative
45,19,Male,Undergraduate,India,6.4,YouTube,Yes,5.9,5.9,Negative
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Negative
46,20,Female,High School,India,6.5,Snapchat,Yes,5.7,4.1,Negative
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Positive
47,24,Female,High School,Other,4.8,LinkedIn,Yes,6.7,6.4,Neutral
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,Negative
48,23,Female,Graduate,Other,2.3,TikTok,No,8.3,8.8,Positive
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Negative
49,20,Male,Graduate,India,5.6,Snapchat,Yes,5.8,5.1,Negative
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,Positive
50,21,Male,High School,Other,5.4,Instagram,Yes,6.6,6.5,Neutral
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Negative
51,22,Female,Undergraduate,Other,2.3,TikTok,Yes,8,8.5,Positive
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Negative
52,24,Male,Graduate,Other,4.1,Facebook,No,6.1,6,Neutral
